MätplatsID;Mätplatsnamn;MätplatsBeskrivning;Sträcka;RiktplatsA;RiktplatsB;R1;R2;koordinater.mätpunkter.R1;koordinater.mätpunkter.R2
6651;C 0318 Skanstullsbron Östra;Cykelbana över Skanstullsbron;Götgatan;Skanstullsbron;Ringvägen;Skanstullsbron => Ringvägen;Ringvägen => Skanstullsbron;MultiPoint(154413.976 6576808.882, 154413.849 6576809.39, 154414.358 6576809.263, 154414.358 6576809.136);MultiPoint(154410.925 6576808.373, 154410.798 6576808.501, 154411.179 6576808.119, 154410.671 6576808.373)
6682;C 0437 Sofielundsplan Västra;Cykelbana längs Nynäsvägen;Sofielundsplan Västra;Fågelkärrsvägen;Sofielundsmotet;Fågelkärrsvägen => Sofielundsmotet;Sofielundsmotet => Fågelkärrsvägen;MultiPoint(155004.523 6574701.523, 155004.959 6574700.1, 155005.646 6574699.287);MultiPoint(155001.433 6574700.092, 155001.87 6574699.07, 155001.984 6574698.372)
6684;C 0437 Sofielundsplan Östra;Cykelbana längs Nynäsvägen;Sofielundsplan Östra;Skolvägen;Glasmålarvägen;Skolvägen => Glasmålarvägen;Glasmålarvägen => Skolvägen;MultiPoint(155072.59 6574640.826, 155073.051 6574640.19, 155073.395 6574639.95);MultiPoint(155070.673 6574639.109, 155070.991 6574638.703, 155071.449 6574638.119)
6671;C 0111 Stadshusbron;Cykelbana längs Stadshusbron;Stadshusbron;Stadshusbron;Hantverkargatan;Stadshusbron => Hantverkargatan;Hantverkargatan => Stadshusbron;MultiPoint(153173.103 6579215.412, 153174.362 6579215.298, 153172.359 6579215.743, 153173.376 6579216.251);MultiPoint(153173.676 6579212.551, 153172.76 6579212.894, 153173.122 6579212.692, 153174.139 6579212.692)
6632;C 0615 Bergslagsvägen Södra sidan;Cykelbana längs Bergslagsvägen södra sidan;Bergslagsvägen;Björnsonsgatan;Islandstorget;Björnsonsgatan => Islandstorget;Islandstorget => Björnsonsgatan;MultiPoint(143528.433 6581759.814, 143526.993 6581761.265, 143527.99 6581760.25);MultiPoint(143532.324 6581763.132, 143530.998 6581764.698, 143531.932 6581763.809)
6654;C 0509 Årstabron;Cykelbana längs Västra Årstabron Serienummer: Y2G13104547 Id: 100010667;Årstabron;Årsta;Södermalm;Årsta => Södermalm;Södermalm => Årsta;MultiPoint(152099.689 6576612.566, 152100.792 6576611.996, 152102.051 6576611.538);MultiPoint(152093.962 6576615.954, 152092.667 6576616.802, 152091.637 6576617.374)
6688;C 0418 Flatenvägen;Cykelbana längs Flatenvägen Id: 100027660;Flatenvägen;Flygfältsgatan;Kasbyvägen;Flygfältsgatan => Kasbyvägen;Kasbyvägen => Flygfältsgatan;MultiPoint(158387.776 6571963.276, 158388.922 6571962.833);MultiPoint(158389.634 6571967.094, 158390.753 6571966.496)
6535;C0605X01;Avestagatan, ID 136;Avestagatan;Fagerstagatan;Finspångsgatan;Fagerstagatan => Finspångsgatan;Finspångsgatan => Fagerstagatan;MultiPoint(142773.544 6586099.511);MultiPoint(142762.558 6586094.933)
6497;C0427X01;Huddingevägen/Örbyleden 1, ID 109;cykelväg;cykelväg;Ånhammarsvägen;cykelväg => Ånhammarsvägen;Ånhammarsvägen => cykelväg;MultiPoint(152170.034 6573920.048);MultiPoint(152164.77 6573917.531)
6547;C0438X01;Nynäsvägen, ID 121V;cykelväg;cykelväg;Tallkrogsvägen;cykelväg => Tallkrogsvägen;Tallkrogsvägen => cykelväg;MultiPoint(155253.73 6573523.354);MultiPoint(155239.997 6573520.607)
6665;C 0402 Enskedevägen Östra;Cykelbana längs Enskedevägen Serienummer: Y2G14086176 Id: 100015314;Enskedevägen;Enskedevägen;Sockenplan;Enskedevägen => Sockenplan;Sockenplan => Enskedevägen;MultiPoint(154176.569 6574299.088, 154175.377 6574300.06, 154174.118 6574300.861);MultiPoint(154179.487 6574297.371, 154181.786 6574296.513, 154180.641 6574296.856)
6647;C 0119 Strömbron Östra;Cykelbana längs Strömbron Id: 100040978;Strömbron;Slottskajen;Strömgatan;Slottskajen => Strömgatan;Strömgatan => Slottskajen;MultiPoint(154163.684 6579237.836, 154159.106 6579238.522);
6631;C 0602 Kistagången;Cykelbana Kistagången mellan Kista och Helenelund;Kistagången;Helenelund;Kista;Helenelund => Kista;Kista => Helenelund;MultiPoint(147677.114 6588156.641, 147676.277 6588155.422, 147676.849 6588155.948);MultiPoint(147679.138 6588154.85, 147678.108 6588153.362, 147678.566 6588154.004)
6635;C 0628 Spångavägen Västerut;Cykelbana längs Spångavägen Serienummer: Y2G14086172 Id: 100015308;cykelväg;Norlindsvägen;Bällstavägen;Norlindsvägen => Bällstavägen;Bällstavägen => Norlindsvägen;MultiPoint(144983.191 6582348.222);MultiPoint(144977.24 6582342.729)
6642;C 0106 Mariebergsbron Västra;Cykelbana längs Mariebergsbron Id: 100004702;Mariebergsbron;Gamla Essinge Broväg;Gjörwellsgatan;Gamla Essinge Broväg => Gjörwellsgatan;Gjörwellsgatan => Gamla Essinge Broväg;MultiPoint(150542.651 6578953.506, 150544.281 6578954.372, 150543.338 6578953.975);MultiPoint(150540.362 6578957.855, 150539.36 6578956.547, 150540.133 6578957.178)
6643;C 0106 Mariebergsbron Östra;Cykelbana längs Mariebergbron Id: 100004701;Mariebergsbron;Gamla Essinge Broväg;Gjörwellsgatan;Gamla Essinge Broväg => Gjörwellsgatan;Gjörwellsgatan => Gamla Essinge Broväg;MultiPoint(150571.719 6578955.566, 150572.279 6578955.669, 150573.12 6578956.318);MultiPoint(150570.346 6578958.084, 150569.896 6578957.631, 150569 6578957.348)
6648;C 0119 Strömbron Västra;Cykelbana längs Strömbron Id: 100040979;Strömbron;Strömgatan;Slottskajen;Strömgatan => Slottskajen;Slottskajen => Strömgatan;MultiPoint(154160.6 6579372.5, 154162.3 6579372.2);
6655;C 0509 Liljeholmsbron Östra;Cykelbana längs Liljeholmsbron Östra;Liljeholmsbron;Liljeholmen;Södermalm;Liljeholmen => Södermalm;Södermalm => Liljeholmen;MultiPoint(151672.556 6577395.833, 151672.785 6577396.05);MultiPoint(151674.845 6577393.888, 151674.988 6577394.19)
6663;C 0413 Magelungsvägen;Cykelbana längs Magelungsvägen Serienummer: Y2G14086168 Id: 100015304;Magelungsvägen;Mellanvägsbacken;Älvsjö;Mellanvägsbacken => Älvsjö;Älvsjö => Mellanvägsbacken;MultiPoint(152017.842 6571753.7, 152017.728 6571752.339, 152017.822 6571751.69);MultiPoint(152013.036 6571749.351, 152013.837 6571748.908, 152014.503 6571748.486)
