MätplatsID;Mätplatsnamn;MätplatsBeskrivning;Sträcka;RiktplatsA;RiktplatsB;R1;R2;koordinater.mätpunkter.R1;koordinater.mätpunkter.R2
6541;C0631X01;Bällstavägen, ID 146N;Bällstavägen;Plommonvägen;Bällsta Allé;Plommonvägen => Bällsta Allé;Bällsta Allé => Plommonvägen;MultiPoint(146018.459 6582817.422);MultiPoint(146016.389 6582822.595)
6650;C 0318 Skanstullsbron Söderut;Cykelbana Skanstullsbron västra sidan;Götgatan;Ringvägen;Skanstullsbron;Ringvägen => Skanstullsbron;Skanstullsbron => Ringvägen;MultiPoint(154391.078 6576813.732, 154388.408 6576812.715, 154389.806 6576813.351);MultiPoint(154390.569 6576815.258, 154387.645 6576814.495, 154389.043 6576814.877)
6653;C 0319 Skansbron Östra;Cykelbana Skansbron östra sidan Id: 100001832;Skansbron;Hammarby Slussväg;Skansbron;Hammarby Slussväg => Skansbron;Skansbron => Hammarby Slussväg;MultiPoint(154536.222 6576525.629, 154536.495 6576524.506);MultiPoint(154538.826 6576526.602, 154539.242 6576525.421)
6664;C 0402 Enskedevägen Västra;Cykelbana längs Enskedevägen Serienummer: Y2G14086177 Id: 100015315;Enskedevägen;Sockenplan;Björneborgsvägen;Sockenplan => Björneborgsvägen;Björneborgsvägen => Sockenplan;MultiPoint(154156.728 6574308.908, 154157.867 6574308.414, 154159.012 6574307.957);MultiPoint(154153.753 6574310.51, 154152.603 6574311.39, 154151.459 6574312.305)
6720;Roslagsvägen Albano;ROSLAGSVÄGEN delen Greta Arwidssons Väg - Brunnsviksvägen;Roslagsvägen;Brunnsviksvägen;Greta Arwidssons Väg;Brunnsviksvägen => Greta Arwidssons Väg;Greta Arwidssons Väg => Brunnsviksvägen;MultiPoint(153144.003 6582309.968, 153117.453 6582323.243);MultiPoint(153151.785 6582305.848, 153123.861 6582318.666)
6633;C 0615 Bergslagsvägen Norra sidan;Cykelbana längs Bergslagsvägen;Bergslagsvägen;Hedebyvägen;Råckstavägen;Hedebyvägen => Råckstavägen;Råckstavägen => Hedebyvägen;MultiPoint(143561.819 6581792.191);MultiPoint(143553.121 6581784.41)
6662;C 0419 Huddingevägen Västra;Cykelbana längs Huddingevägen Serienummer: Y2G14086171 Id: 100015307;Huddingevägen;Huddinge;Stockholm;Huddinge => Stockholm;Stockholm => Huddinge;MultiPoint(150780.258 6571153.336, 150780.029 6571151.619);MultiPoint(150778.77 6571153.793, 150778.313 6571152.077)
6615;C0407X04;Enskedevägen Västra del Palmfeltsv - Björneborgsv;cykelväg;cykelväg;Björneborgsvägen;cykelväg => Björneborgsvägen;Björneborgsvägen => cykelväg;MultiPoint(154166.254 6574332.855);MultiPoint(154170.832 6574330.109)
6668;C 0103 Sankt Eriksgatan Östra;Cykelbana längs S:t Eriksgatan;Sankt Eriksgatan;Sankt Eriksbron;Sankt Eriksplan;Sankt Eriksbron => Sankt Eriksplan;Sankt Eriksplan => Sankt Eriksbron;MultiPoint(152042.934 6580365.324, 152042.632 6580364.155);MultiPoint(152040.33 6580366.125, 152039.771 6580364.955)
6794;C0609X03;Maltesholmsvägen del Bergslagsplan - Kvarnhagsgatan;Maltesholmsvägen;Kvarnhagsgatan;Grimstagatan;Kvarnhagsgatan => Grimstagatan;Grimstagatan => Kvarnhagsgatan;MultiPoint(141919.897 6583458.594);MultiPoint(141928.137 6583464.087)
6795;C0623X01;Drottningholmsvägen del Alviksplan - Tranebergsslingan;Drottningholmsvägen;Tranebergsslingan;Alviksplan;Tranebergsslingan => Alviksplan;Alviksplan => Tranebergsslingan;MultiPoint(148771.877 6579817.988);MultiPoint(148770.875 6579813.096)
6796;C0427X03;Malmköpingsvägen del Malmköpingsvägen - Örbyleden;Malmköpingsvägen;Malmköpingsvägen;Örbyleden;Malmköpingsvägen => Örbyleden;Örbyleden => Malmköpingsvägen;MultiPoint(152103.756 6573876.181);MultiPoint(152101.353 6573881.446)
6689;C 0524 Slättgårdsvägen;Cykelbana längs Slättgårdsvägen Serienummer: Y2G13104551 Id: 100010671;Slättgårdsvägen;Bredängsvägen;Västertorpsvägen;Bredängsvägen => Västertorpsvägen;Västertorpsvägen => Bredängsvägen;MultiPoint(147019.97 6574931.428, 147021.058 6574931.555, 147016.869 6574930.859, 147018.414 6574931.087);MultiPoint(147019.398 6574934.632, 147020.715 6574934.986, 147023.849 6574935.665, 147022.19 6574935.265)
6736;C0121X01;Stallgatan del Södra Blasieholmshamnen - Blasieholmsgatan;Stallgatan;Södra Blasieholmshamnen;Blasieholmsgatan;Södra Blasieholmshamnen => Blasieholmsgatan;Blasieholmsgatan => Södra Blasieholmshamnen;MultiPoint(154292.377 6579453.333);MultiPoint(154289.173 6579456.079)
6645;C 0109 Västerbron Östra;Cykelbana längs Västerbron;Västerbron;Långholmsgatan;Västerbroplan;Långholmsgatan => Västerbroplan;Västerbroplan => Långholmsgatan;MultiPoint(151384.331 6579105.849, 151382.415 6579107.8, 151383.419 6579108.41, 151383.247 6579106.579, 151384.308 6579107.076);MultiPoint(151378.152 6579106.192, 151379.296 6579105.654, 151378.384 6579104.748, 151379.929 6579104.519, 151379.095 6579104.022)
8294;C 0311 Hornsgatan 54;"Hornsgatan vid Mariatorget
Id: 100045015";Hornsgatan;Mariatorget Östra;Mariatorget Västra;Mariatorget Östra => Mariatorget Västra;Mariatorget Västra => Mariatorget Östra;MultiPoint(153536.103 6578191.194, 153535.595 6578190.94);MultiPoint(153538.138 6578180.898, 153538.265 6578180.898)
6805;C0403X01;Hammarby Allé del Skansbron - Fredriksdalsgatan;Hammarby Allè;Fredriksdalsgatan;Skansbron;Fredriksdalsgatan => Skansbron;Skansbron => Fredriksdalsgatan;MultiPoint(154651.035 6576335.047);MultiPoint(154648.059 6576330.469)
6806;C0403X02;Hammarby Allè del Skansbron - Fredriksdalsgatan;Hammarby Allé;Skansbron;Fredriksdalsgatan;Skansbron => Fredriksdalsgatan;Fredriksdalsgatan => Skansbron;MultiPoint(154639.362 6576316.049);MultiPoint(154642.795 6576321.543)
6552;C0651X01;Lövstavägen del Bergslagsvägen - Krossgatan, ID 135;Lövstavägen;Bergslagsvägen;Krossgatan;Bergslagsvägen => Krossgatan;Krossgatan => Bergslagsvägen;MultiPoint(141889.035 6583616.494);MultiPoint(141880.795 6583606.423)
6660;C 0521 Älvsjövägen;Cykelbana längs Älvsjövägen Serienummer: Y2G14086175 Id: 100015311;Älvsjövägen;Långbrodalsvägen;Sjättenovembervägen;Långbrodalsvägen => Sjättenovembervägen;Sjättenovembervägen => Långbrodalsvägen;MultiPoint(150135.389 6573823.317, 150133.667 6573824.1);MultiPoint(150137.22 6573826.979, 150135.155 6573827.877)
7448;C0304X01;Munchensbacken del Söder Mälarstrand - Heleneborgsgatan;Cykelväg;Högalidsgatan;Cykelväg;Högalidsgatan => Cykelväg;Cykelväg => Högalidsgatan;MultiPoint(152603.302 6578331.184);MultiPoint(152598.724 6578336.22)
6554;C0516X01;Älvsjö Station del Älvsjö Torg - Mässvägen, ID 108;cykelväg;Mässvägen;Älvsjö Torg;Mässvägen => Älvsjö Torg;Älvsjö Torg => Mässvägen;MultiPoint(150618.977 6573688.814);MultiPoint(150615.086 6573685.381)
7449;C0304X02;Söder Mälarstrand del Pålsundsbron - Munchensbacken;Cykelväg;Pålsundsbron;Cykelväg;Pålsundsbron => Cykelväg;Cykelväg => Pålsundsbron;MultiPoint(152264.099 6578353.958);MultiPoint(152269.592 6578370.209)
7904;C0106X001;Gjörwellsgatans cykelbanor mellan Fyrverkarbacken och Wivalliusgatan;Gjörwellsgatan;Fyrverkarbacken;Wivalliusgatan;Fyrverkarbacken => Wivalliusgatan;Wivalliusgatan => Fyrverkarbacken;MultiPoint(151024.361 6579149.208);MultiPoint(151037.407 6579142.342)
